Dataset,Model,accuracy,detection_prevalence,detection_rate,f1,precision,prevalence,recall,specificity
DDINA,GraphSAGE,0.859481582537517,0.5,0.7745980730125144,0.8015654198852482,0.853837675685359,0.5,0.7745980730125144,0.853837675685359
COSS,GraphSAGE,0.8587994542974079,0.5,0.7860061311096083,0.8067164107806513,0.8403174977009173,0.5,0.7860061311096083,0.8403174977009173
DDM,GraphSAGE,0.8622100954979536,0.5,0.7804275753841369,0.806621565144708,0.8554821096272578,0.5,0.7804275753841369,0.8554821096272578
