,0,1,2
92,-1001583172969,BinancesignalsAbuDh,"['en', 'no', 'vi']"
93,-1001591925285,soldait,['en']
94,-1001593186486,kriptopump_sinyal,"['en', 'tr']"
95,-1001594522150,Whales_PUMPs_Official,"['de', 'en', 'vi', 'id', 'ca']"
96,-1001608999927,HighPeakHotbitPump,['en']
97,-1001615325181,HotBitPumpForLife,"['en', 'vi']"
98,-1001616441618,Rocket_Pump_Network,['en']
99,-1001619333749,BITGET_01,"['de', 'en', 'no', 'ca']"
100,-1001622654998,Scalping_300,"['fr', 'en', 'no', 'ca']"
101,-1001625691880,cryptoclubpump,"['en', 'vi']"
102,-1001628956682,Cryptomillionaire01,"['en', 'no']"
103,-1001630627066,crypto7987sekta,['en']
104,-1001644378771,softexpump,['ar']
105,-1001647563514,whalepumping,['en']
106,-1001652601224,CRYPTOWORLD198,"['de', 'en', 'no', 'ca']"
107,-1001656921849,EatsleeptraderepeatOfficial,['en']
108,-1001660772276,binancepumpsandtrading,['en']
109,-1001662988814,Bitstamp_1,"['en', 'no', 'ca']"
110,-1001674306258,cryptopapa_signalsadmin1,"['de', 'en', 'vi', 'da', 'fr', 'no', 'ca', 'ro']"
111,-1001684501555,kkkkkkhld,"['ar', 'en', 'de']"
112,-1001690548530,Kucoin_Binance_Pump,['en']
113,-1001695857773,topgtradx,['en']
114,-1001700314832,crypto_pump_Expert,"['de', 'en', 'vi', 'id', 'ca']"
115,-1001708479016,CryptoSignaLCrazy,['en']
116,-1001727857237,crypto_musk1,['en']
117,-1001757689494,Zignaly00,"['en', 'no', 'ca']"
118,-1001757983390,Bigcrypumpp20222,['en']
119,-1001758534036,Best_Crypto_Channel1,"['en', 'id']"
120,-1001764313047,hotbitiopumps,['en']
121,-1001770033880,DefiUniverse,['en']
122,-1001773172908,Whale_Alert0,['en']
123,-1001777267013,Kucoin_Trading_Pump,['en']
124,-1001777719021,Crypto_RK_Signals,"['de', 'en']"
125,-1001782609878,PumpCrypto_Community,['en']
126,-1001788143320,walesssss1010,['en']
127,-1001790519070,WeGoToTheMoonVip,['en']
128,-1001790623382,Pancakeswappumpss,['en']
129,-1001791613137,biggesthotbitpumps,['en']
130,-1001887542800,hotbit_pump_signal_pro,['en']
